id,group,scope,name,qty,spare,unit,pack,refs,spec,basis,gate,pid,price,url,source,notes,onhand,included
C01,제어·센서,기본,Orange Pi 4 Pro,1,0,개,1,OP1,5V Type-C 입력; RAM/OS 이미지 확정,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,정확한 모델의 국내 출고를 확인하지 못함. 4B·Pi 5로 임의 치환 금지.,0,0
C02,제어·센서,기본,ESP32-DevKitC V4 WROOM-32E,1,1,개,1,U1,정품 38핀 V4; micro-B; USB 급전,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,예비 1개. 30핀 클론/WROVER와 핀맵 다름. 국내 재고 확인 전 보류.,0,0
C03,제어·센서,기본,외부 전원 USB 허브,1,0,개,1,H1,독립 5V 입력; downstream 4포트 이상; upstream 역급전 차단,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,"ESP32, C1, UWB L/R로 4포트 사용. 포트별 전류·기동 부하 확인.",0,0
C04,제어·센서,기본,RPLIDAR C1 센서,1,0,개,1,LD1,SLAMTEC C1 정품,원본 수량,국내출고·동봉 확인,P04,112500,https://eduino.kr/product/detail.html?product_no=9805,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,센서 1개. 어댑터·케이블 포함 키트면 C05/H04/H05에서 동봉 수량을 차감.,0,0
C05,제어·센서,기본,C1 전용 USB-UART 어댑터,1,0,개,1,A1,C1 통신 속도와 커넥터 대응 정품,원본 수량,동봉·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,C04 번들 포함 시 별도 구매 0. 일반 USB-TTL로 무검증 대체 금지.,0,0
C06,제어·센서,기본,BU04-Kit 카트 베이스,2,0,개,1,"UWL,UWR",좌/우 각 1; 거리 데이터 USB Type-C,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,국내 재고 미확인. bare BU04·Follow Package와 동일 제품으로 간주하지 않음.,0,0
C07,제어·센서,기본,호환 UWB 사용자 태그,1,0,개,1,TAG1,C06과 펌웨어/역할/ID 호환; 독립 급전,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,베이스 2 + 태그 1 = 무선 역할 3개. 태그 포함 세트를 샀다면 동봉 차감.,0,0
C08,제어·센서,기본,BNO085 IMU 브레이크아웃,1,0,개,1,IMU1,Adafruit #4754; SPI; P0/P1 HIGH,원본 수량,국내재고 재확인,P01,53800,https://robotscience.kr/goods/view?no=15723,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,같은 BNO085여도 다른 보드와 핀 배치/전압이 다름. 기본 예비 없음.,0,0
C09,제어·센서,기본,VL53L1X ToF 브레이크아웃,2,1,개,1,TOF1,Pololu #3415; 하향 좌/우,3D 2개 / Wiring 1개 → 통합 2개,회로보완 후 발주,P02,41300,https://robotscience.kr/goods/view?no=19458,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,필요 2 + 예비 1 = 3. B1 회로는 1개만 지원; C10/C11 또는 XSHUT 설계 필요.,0,0
C10,제어·센서,ToF보완,I2C 멀티플렉서,1,0,개,1,,Adafruit PCA9548 #5626; 3.3V 센서 분리,신규 보완 제안,설계변경 후 발주,P03,16700,https://robotscience.kr/goods/view?no=20126,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,원본 부품 아님. 동일 주소 ToF 두 개를 채널 분리하는 제안. XSHUT 방식 선택 시 이 행과 C11 선택을 0으로 변경.,0,0
C11,제어·센서,ToF보완,JST-SH 1.0mm 4핀 분기 하네스,2,1,개,1,,PCA9548 하위 포트 → Pololu 헤더; 실제 핀 순서,C10 신규 설계 2분기,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,조립품/피그테일 + 적합 헤더로 2분기. 양끝 SH인 케이블만 사면 Pololu 헤더에 직접 연결 안 됨.,0,0
C12,제어·센서,기본,microSD 저장장치,1,1,개,1,,64GB 제안; Orange Pi 이미지와 부팅 호환,운용 보완 제안,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,용량은 제안값. 예비 OS 복제 카드 1. 정품 국내 재고/내구성 확인.,0,0
C13,제어·센서,기본,SBC 방열·냉각 세트,1,0,세트,1,,Orange Pi 4 Pro 치수/팬 전압 일치,3D 방열판 / 운용 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,팬·방열판·패드·체결물의 동봉 범위 확인. 유사 보드용 케이스 금지.,0,0
C14,제어·센서,기본,사용자 태그 독립 전원,1,0,세트,1,,보호회로 포함; 태그 전압과 저부하 유지 대응,TAG1 독립전원 요구,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,태그 내장 배터리 포함 시 구매 차감. 전원 자동꺼짐 및 충전 방식 확인.,0,0
E01,전원·보호,기본,LiFePO4 배터리 팩,1,0,개,1,BT1,24V class / 108Ah 목표; BMS 포함,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,실모델/셀 직렬 수/완충 전압/허용 전류 미확정. 25.2V 리튬이온 108Ah는 대체품 아님.,0,0
E02,전원·보호,기본,배터리 지정 충전기,1,0,개,1,,E01 제조사 승인 CC/CV 충전기,누락 보완,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/docs/ASSEMBLY-KR.md,배터리와 세트 제공 시 차감. 전압·충전 전류·역극성 보호·AC 전원선 확인.,0,0
E03,전원·보호,기본,메인 DC 차단 스위치,1,0,개,1,S0,완충 전압·연속전류·DC 부하 차단능력 검증,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,AC 정격을 DC 부하 차단 정격으로 대체하지 않음.,0,0
E04,전원·보호,기본,절연 커버 양극 전원 버스,1,0,개,1,X24,최소 4회로; 주전류 정격 확보,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,배터리/접촉기/DC1/DC2. 커버와 접속 볼트 포함 여부 확인.,0,0
E05,전원·보호,기본,절연 커버 공통 음극 버스,1,0,개,1,X0,B1 최소 12단자; 귀환 총전류 정격 확보,원본 수량,사양·조달 보류,,,,https://github.com/JTech-CO/Smart-Cart-Wiring/blob/3ac3f1d793caba6494d27df6f0b9ba2eee8606d5/data/BOM.csv,각 전력 귀환 분리. 여러 링 단자를 한 볼트에 무제한 적층하지 않음.,0,0
